Part_Number,Manufacturer_Part_Number,Manufacturer,Title,Description,Price,Stock,Product_link
PS11701542,EDR1RXD1,Whirlpool,Fridge Refrigerator Ice and Water Filter,"This is an OEM replacement ice and water filter for your refrigerator. In side-by-side refrigerators, it is found in the top right corner or the bottom left grille. In bottom-freezer refrigerators, the filter is in the bottom left grille. In top-freezer units, the filter is located in the middle of the refrigerator. This NSF certified filter reduces 28 contaminants including pharmaceuticals, metals, minerals, pesticides, cysts, industrial chemicals, Class I Particulates and chlorine. It is made up of coconut carbon block and has three layers of filtration. The first layer is particle filtration that helps block larger contaminants. The second layer is micro-filtration, which prevents medium-sized impurities from passing. The third layer is called absorption filtration, which absorbs microscopic-sized pollutants. It measures 2 inches deep, 2 inches wide, 1-1/2 inches high, and weighs 0.5 lbs. To ensure your filter is working its best, it needs to be replaced every six months. This single filter has a simple, quick-turn installation feature that does not require any tools.",$90.73,In Stock,/PS11701542-Whirlpool-EDR1RXD1-Refrigerator-Ice-and-Water-Filter.htm?SourceCode=18
PS12364199,242126602,Frigidaire,Fridge Refrigerator Door Shelf Bin,No explanation available,$42.86,In Stock,/PS12364199-Frigidaire-242126602-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18
PS16542496,WE03X29897,GE,Fridge BELT DRIVE,"This Drive Belt is 89.5"" long and comes in black, featuring four ribs on the inside for a better grip. This is a long belt that wraps all the way around the dryer drum, around a tension pulley, and then around the drive motor pulley, allowing all the parts to work together, spinning the drum as the motor rotates. If the drum will not turn when the dryer is turned on the belt is likely broken. It is common for belts to stretch or become brittle over time, which is what leads to the breakage. If broken, it should be replaced; the drum simply cannot spin without this belt. Refer to your model number and user manual to check if this part is right for you. Ensure you use work gloves to protect your hands from sharp internal parts during this repair. Please note: When comparing the length of your old belt to the length of the belt as stated here, remember that a small amount of stretching and contortion may occur with belts over time for a range of different reasons. Unless your belt is drastically different in length, this belt is what you are looking for despite any small inaccuracies. You will need to remove power to your appliance, remove the main panel, and access the motor drive to slip your new belt back into place.",$36.13,In Stock,/PS16542496-GE-WE03X29897-BELT-DRIVE.htm?SourceCode=18
PS11752778,WPW10321304,Whirlpool,Fridge Refrigerator Door Shelf Bin,"This manufacturer-certified Refrigerator Door Shelf Bin, also known as the crisper bin and door shelf bin, is made of clear plastic, and is easy to install. It is used to hold items in the fridge door, like jars, bottles, cans, and condiments, and this item is clear with white trim around its top edge and you'll be able to visually see if the part is broken. This particular shelf attaches to the fridge door. You can check if this model is right for your appliance by checking your user manual and model number. This individually-sold door bin fits many different models of side-by-side refrigerator, and can be installed with the use of no tools.",$47.83,In Stock,/PS11752778-Whirlpool-WPW10321304-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18
PS438018,316075103,Frigidaire,Fridge Oven Bake Element,"The Oven Bake Element is a black, metal part which supplies heat to the oven. This element is 19-1/2"" wide x 18-1/2"" long and has 3-1/2"" inserts. It is rated as ""Easy"" to install by users, and attaches to the bottom of the oven. If you notice visible damage, or that your oven is not receiving heat properly then it may be a problem with this part. Check your model number and user manual to see if this is the right part for you. It is important for you to disconnect your appliance from the power source before performing this repair. After disconnecting your appliance, remove the two screws/nuts connecting the old element, pull it out, and discard if faulty. Simply connect the new element prongs where the old element fit, and screw it back in. You may need a flashlight when making this repair.",$47.59,In Stock,/PS438018-Frigidaire-316075103-Oven-Bake-Element.htm?SourceCode=18
PS734935,240534901,Frigidaire,Fridge Door Shelf Retainer Bar,"This door shelf retaining bar, also known as refrigerator door bar retainer or fridge door rack, is a genuine part sourced from the original manufacturer. It is a white This manufacturer-certified Door Shelf Retainer Bar, sometimes otherwise known as the door rack or bar retainer,  is a white, plastic part which can be easily installed onto the inside of the refrigerator or freezer door to hold items on the door shelves.  It holds items in your fridge and will show physical damage if broken or warped, at which time it should be replaced. Check your user manual and model number to see if this part is right for you. No tools are required for this installation, the part should simply snap into place. This part measures roughly 25 inches wide, 3 inches high, and 5 inches deep. This part is sold individually, and we recommend checking the other door shelf retaining bars on your refrigerator or freezer at the same time as ordering this part to ensure that no others need to be replaced, as they often wear or warp at similar speeds.",$41.43,In Stock,/PS734935-Frigidaire-240534901-Door-Shelf-Retainer-Bar.htm?SourceCode=18
PS11722130,EDR4RXD1,Whirlpool,Fridge Refrigerator Water Filter,"This water filter (Whirlpool EveryDrop Refrigerator Water Filter, Single Turn Filter) purifies water going to the water dispenser and sometimes the icemaker as well. This part should be replaced if it is causing reduced water flow or just replaced periodically per the owner manual. Replacing this water filter may fix a noisy or leaking fridge, a fridge that is not dispensing water (or reduced flow rate), and an ice maker that is not making ice at all, or not making enough ice. This filter is white, sold individually and measures 8 inches by 3 inches in diameter. This water filter has been updated by the manufacturer. It may appear different but will still function the same. It is sold individually.",$90.73,In Stock,/PS11722130-Whirlpool-EDR4RXD1-Refrigerator-Water-Filter.htm?SourceCode=18
PS11739119,WP2188656,Whirlpool,Fridge Refrigerator Crisper Drawer with Humidity Control,"The crisper drawer (Crisper Pan, Refrigerator Crisper Drawer) with humidity control is meant to keep your vegetables and fruit as fresh as possible by allowing you to regulate the humidity levels within the drawer. It attaches on the inside of your refrigerator to the bottom of the crisper shelf. This drawer can break from misuse or accidental damage. It is also subject to material fatigue over time. If broken or damaged, it may be difficult to slide the drawer in and out, and it should be replaced. This plastic drawer measures 14.92 inches long, 7.6 inches high, and 16.5 inches wide and comes in white/clear.",$79.63,In Stock,/PS11739119-Whirlpool-WP2188656-Refrigerator-Crisper-Drawer-with-Humidity-Control.htm?SourceCode=18
PS755842,WE1M504,GE,Fridge Drum Bearing Slide - White (Sold individually),"This authentic, white Drum Bearing Slide, also known as the bearing drum slide, glide, or pad, is a plastic, easy-to-install part for your dryer. It replaces the dryer's front drum slide to allow for easier movement.  You'll know if this part is an issue if your dryer is unable to tumble properly or is very noisy. Damage can come from regular use. The part attaches to the outermost side of the bearing. Check both slides for signs of wear, because they often wear at the same rate, and should be replaced at the same time; there are 2 of these particular slides per dryer. This part is sold individually, so you'll need to purchase multiple parts if replacing both at the same time.",$18.58,In Stock,/PS755842-GE-WE1M504-Drum-Bearing-Slide-White-Sold-individually.htm?SourceCode=18
PS6447706,WE1M1067,GE,Fridge Drum Bearing Slide - Green (Sold individually),"This original equipment manufacturer Drum Bearing Slide is a plastic, green, easy-to-install part for your dryer. It replaces the dryer's front drum slide to allow for easier movement.  You'll know if this part is an issue if your dryer is unable to tumble properly or is very noisy. Damage can come from regular use. As the slides start to break down it may cause your dryer to make noise or not dry clothes in the usual amount of time. You will need to purchase two for both sides of your dryer. They attach to the outer-most sides of the bearing. The manufacturer recommends replacing both slides at the same time. Take this opportunity to clean out the lint and dust in the dryer, to keep it running smoothly. This is a genuine replacement part that comes directly from the manufacturer. This item is sold individually. The part attaches to the outermost side of the bearing. Although this part is denoted as being ""Green"" in its title, many users and technicians have noted that its true colour is closer to a dark gray or black.",$14.29,In Stock,/PS6447706-GE-WE1M1067-Drum-Bearing-Slide-Green-Sold-individually.htm?SourceCode=18
